"profile";"period";"myCount";"description"
"3";"2";"1";"question"
"4";"2";"1";"question"
"3";"3";"1";"question"
"4";"3";"2";"question"
"4";"4";"1";"question"
"3";"5";"1";"question"
"4";"5";"2";"question"
"3";"6";"1";"question"
"4";"6";"1";"question"
"3";"7";"1";"question"
"4";"7";"3";"question"
"3";"8";"1";"question"
"4";"8";"1";"question"
"3";"9";"2";"question"
"4";"9";"1";"question"
"2";"10";"1";"question"
"3";"10";"1";"question"
"4";"10";"1";"question"
"1";"11";"1";"question"
"3";"11";"1";"question"
"4";"11";"2";"question"
"1";"12";"1";"question"
"3";"12";"1";"question"
"4";"12";"5";"question"
"1";"13";"1";"question"
"3";"13";"1";"question"
"4";"13";"2";"question"
"1";"14";"1";"question"
"3";"14";"1";"question"
"4";"14";"2";"question"
"3";"15";"1";"question"
"4";"15";"2";"question"
"3";"16";"1";"question"
"4";"16";"3";"question"
"3";"17";"1";"question"
"4";"17";"2";"question"
"1";"18";"1";"question"
"3";"18";"1";"question"
"4";"18";"4";"question"
"1";"19";"1";"question"
"3";"19";"1";"question"
"4";"19";"4";"question"
"1";"20";"1";"question"
"3";"20";"1";"question"
"4";"20";"9";"question"
"1";"21";"1";"question"
"3";"21";"1";"question"
"4";"21";"11";"question"
"1";"22";"1";"question"
"3";"22";"2";"question"
"4";"22";"1";"question"
"1";"23";"1";"question"
"3";"23";"2";"question"
"4";"23";"53";"question"
"1";"24";"1";"question"
"3";"24";"1";"question"
"4";"24";"1";"question"
"1";"25";"1";"question"
"3";"25";"1";"question"
"4";"25";"1";"question"
"1";"26";"1";"question"
"2";"26";"1";"question"
"3";"26";"1";"question"
"4";"26";"7";"question"
"1";"27";"1";"question"
"3";"27";"1";"question"
"4";"27";"22";"question"
"1";"28";"1";"question"
"2";"28";"1";"question"
"3";"28";"1";"question"
"4";"28";"2";"question"
"1";"29";"1";"question"
"3";"29";"1";"question"
"4";"29";"1";"question"
"1";"30";"1";"question"
"3";"30";"1";"question"
"4";"30";"1";"question"
"1";"31";"1";"question"
"3";"31";"1";"question"
"4";"31";"21";"question"
"1";"32";"1";"question"
"2";"32";"1";"question"
"3";"32";"1";"question"
"4";"32";"15";"question"
"1";"33";"1";"question"
"2";"33";"1";"question"
"3";"33";"1";"question"
"4";"33";"6";"question"
"1";"34";"2";"question"
"2";"34";"1";"question"
"3";"34";"2";"question"
"4";"34";"4";"question"
"1";"35";"1";"question"
"3";"35";"1";"question"
"4";"35";"18";"question"
"1";"36";"1";"question"
"3";"36";"1";"question"
"4";"36";"13";"question"
"1";"37";"1";"question"
"3";"37";"3";"question"
"4";"37";"5";"question"
"1";"38";"1";"question"
"3";"38";"1";"question"
"4";"38";"1";"question"
"1";"39";"1";"question"
"3";"39";"1";"question"
"4";"39";"9";"question"
"1";"40";"1";"question"
"3";"40";"1";"question"
"4";"40";"7";"question"
"1";"41";"1";"question"
"3";"41";"1";"question"
"4";"41";"5";"question"
"1";"42";"1";"question"
"3";"42";"2";"question"
"4";"42";"1";"question"
"1";"43";"1";"question"
"2";"43";"1";"question"
"3";"43";"1";"question"
"4";"43";"4";"question"
"1";"44";"2";"question"
"3";"44";"1";"question"
"4";"44";"4";"question"
"1";"45";"1";"question"
"3";"45";"1";"question"
"4";"45";"20";"question"
"1";"46";"1";"question"
"3";"46";"1";"question"
"4";"46";"10";"question"
"1";"47";"1";"question"
"3";"47";"1";"question"
"4";"47";"12";"question"
"1";"48";"1";"question"
"3";"48";"1";"question"
"4";"48";"1";"question"
"1";"49";"1";"question"
"3";"49";"1";"question"
"4";"49";"4";"question"
"1";"50";"1";"question"
"2";"50";"1";"question"
"3";"50";"1";"question"
"4";"50";"6";"question"
"1";"51";"1";"question"
"2";"51";"2";"question"
"3";"51";"1";"question"
"4";"51";"1";"question"
"1";"52";"1";"question"
"3";"52";"1";"question"
"4";"52";"1";"question"
"1";"53";"1";"question"
"3";"53";"1";"question"
"4";"53";"9";"question"
"1";"54";"1";"question"
"3";"54";"2";"question"
"4";"54";"24";"question"
"1";"55";"1";"question"
"3";"55";"1";"question"
"4";"55";"1";"question"
"1";"56";"1";"question"
"3";"56";"1";"question"
"4";"56";"8";"question"
"1";"57";"1";"question"
"3";"57";"1";"question"
"4";"57";"1";"question"
"1";"58";"1";"question"
"3";"58";"1";"question"
"4";"58";"2";"question"
"1";"59";"1";"question"
"3";"59";"1";"question"
"4";"59";"7";"question"
"1";"60";"1";"question"
"2";"60";"1";"question"
"3";"60";"1";"question"
"4";"60";"2";"question"
"1";"61";"1";"question"
"2";"61";"1";"question"
"3";"61";"2";"question"
"4";"61";"14";"question"
"1";"62";"1";"question"
"3";"62";"4";"question"
"4";"62";"5";"question"
"1";"63";"1";"question"
"2";"63";"1";"question"
"3";"63";"1";"question"
"4";"63";"2";"question"
